,text,ext,neu,agr,con,opn
10,well sitting library right know one across jester center hard work trying think thing writing along heard someone moving seat making noise go cant guy sit still boy sleepy neck cramp go guy moving seat look one making noise okay stopped boy tired wish sleeping right hear people walking distance someone page book wonder looking probably something tough class man tired excuse stop writing second boy really see anything without glass must really bad figure wearing glass since grade liked first thought cool wearing glass hurt ear give headache sometimes needed pull chair little man wish someone massage neck shoulder girl get worse beginning feel pain writing much think really shape hurting much wow truly everything around man someone killed every one room saw would probably able even describe police boy sight bad good eight minute writing wish sleep right finish writing assignment man mean would computer great well getting real soon see much better neck cramp thing could get worse sitting write least twenty minute stream conscience eye heavy chest pain way sitting right arm tired please stop dude three minute time sure fly real fast yeah right cool guy back shirt man well little noisy mean library man people trying writing assignment psychology man dude heard door opened shut alright finally stop hope like twenty minute life thanks lot kidding,1,1,1,1,1
11,done assignment three time past ten minute computer changed screen looking keyboard apologize received several copy assignment already case write everything written already mostly thinking though roommate next room listening loudly apparently fact homework television stopping complete thought suppose ideal purpose quite irritating always stream consciousness writing especially since read virginia last year english class given similar assignment told could complete assignment teacher mostly think clearly speak even thought head feel strong enter argument greatly enjoy never making completely argument unless goal first place fall different train though mention brother father would argue constantly growing reason behind passed back forth would reason made goal speak especially unless sure argument could mean statement would let statement favorite aspect would actually get back time assigned write bill would take fake model united nation would present bill wanted passed fact partner rarely wanted bill passed wanted people argue case would try make bill interesting least argument could made would based moral rather common reason moral would likely get everyone interested could one willing moral none bill ever write find often losing train thought believe usually think result experiment thinking quickly normally cant explain keep typing however normally thinking still try think slowly speak something make look said mostly point possible flaw way thought fact running thing finish still seven minute away like apologize many spelling error sure found assignment mean error natural word know spelling rather mean word look written idiot talented typist finger key would back fix error seems nature assignment time writing also realizing occasionally clear thought head write many thought possibly transfer onto paper rate passing hate leaving impression anyone ignorant think main reason dislike assignment see anyone read see exactly hope least everyone ignorant least even ground also hate writing professor psychology sure necessary assignment done honestly could probably talk someone get many honest answer well ive hit minute suppose last sentence good place finish,0,0,0,0,0
12,well sitting thinking cannot wait get home sleep thinking girlfriend much really care know football popped head decided slow typing typing faster think thought cannot stop think project asked question ring dirty well see huge fan would give anything get going wait another year feel bad word girl used know freshman year highschool popped head cool really cool girlfriend sweetest thing whole world love make happy movie seen pop head think assignment wrong well let see mr mr guess supposed put thought dwell best friend playing soccer together wonder moved dallas working driver ever want guy cut hair know thing said think time long whole little get together computer going take really enjoying feel think way much well wander send button computer time get tomorrow morning get computer science homework done hope stick together long time think cool whole question love come though know love yet might know feel sorry amy thought cool already taken nothing going happen content french class really suck least trying hopefully teacher see help past hair look pretty cool right cut thought heard someone library well whole return thing annoying keep hearing weird noise pretty cool light numerous office building really scare night especially nobody every little noise make jump well exciting minute left even half way done one first date thing across river really hope care get ticket would make day bad although day pretty good far hour left one day get see two till play living good life pay day friday math teacher would make great one mall christmas holiday wonder time finally get home really cannot wait pretty cool able get work computer access one floor eight minute left excited bunch cycle outside really annoying well still home work computer program get get tomorrow right get give two hour project sure second assignment must sound really rude really extremely tired sorry seem wonder often think think whole lot noise really scary nose itch green light cool building across lake almost time sign find send key would happy man head hurting hope project come wonder friend going meet like like cool see,0,1,0,0,0
13,ive put long enough say class already completed assignment think time minute seems like really long time sitting rambling typing one line hit return send next line think gonna try see happens whoa way cool man like totally cool gonna well bored right minute ate dinner seems thats eat every night boring thats really cool say yes say yes cant cause speak doubt rock speak know saying please stop explaining tell cause hurt song used love started playing radio like sad song make think thinking good soul teacher pick pick hang one calling always seem like one would noon would said space one would sound look soo weird slowly going crazy switch slowly going crazy switch know really really cool assignment think itd cool could talk someone like totally going tangent whenever want speaking tangent hate think take calculus college cause roommate get later say really hard he quite math ill take community college maybe yeah yeah yeah roommate he friend mine houston like weve together since moved together really kinda annoying feel bad cause like one best friend like wanna around anymore ill tell want really really want want future forget past wanna get better make fast girl suck listening new right got radio station position something wanna heard guy gotta get friend song called gotta get would cooler gonna like long still minute gonna girl front psych today friend say really stuck superficial kept superficial see shed turn around never mean superficial know often case think paper rock man bet yall get really one like end world coming austin mtv video music award get like caught cant watch award would suck going home week friend encounter tonite thats pretty weird huh really understand concept either well think hey cant around class cause really told well anyone except like people could lab rat rat wanna pig gay friend say believe guess lot gay friend case worked actually like coolest job ive thus far career working world minute yay hell yall gonna read roommate came home dork he bathroom told cant cause he really cause want see wrote phone call talking phone call phone call thats friend seemed better feel bad taking friend away cant help get along better know know really long like typed hour suck yall well blast minute one minute could get name paper little know name already well minute really cool love whoever read knowledge power teacher around giving away sweet well actually believe class like teacher sort somebody paying give away knowledge anyway real actually sad ive become attached talk later love,0,1,1,0,0
14,sitting writing stuff paper thinking going tonight pretty happy navy paid money money paper hoping little easier typing time go slow waiting girl really cute concentrate one thing long time people talking take attention football game tomorrow going every body seems going see big deal watch late would suck make write stuff thought weird thing everything look bring thought book people everything talk make think certain thing like ignore room there much time make today cant wonder theyll probably much ill three quarter big deal good open alot later oclock extra study rotc unit good way guess wonder late stay today really matter guess want tonight one night get drunk plan real bad people trying figure total hour need doubt itll help funny people use study hour mostly trying figure little thing everything study think thats time hope close assignment mind pretty simple hard write long,0,0,1,1,0
15,always problem hair really wet dry assignment need almost slept eight clock class somehow made show keep getting dear cash check check book balance something need done really quickly pay extra hot check written twenty minute probably seems shorter slower typist people kristen psycho hate hate something happens show every second think day life good show seem addicted anyway nice austin finally together probably long,1,0,1,0,0
16,psychologist always trying understand mind work work case thing understood merely knowledge kind guess ive always found psychology field though interesting one want control life action desire others help maintain control perhaps getting moment thought take free merely ive thought lot unfortunately answer question god ive never heard sound argument existence god allow possibility certainly christian god think agree proof existence god stop wasting time deal life people deal fear death make create religion pretend life body die new thought thinking mind move easily know present idea someone actually reading understand human object body body alone mind complex feel analyze mind ask ask enjoy people object even admit conscious mind treat people object perhaps possible slightly still good raise question bit easily see need religion think many need buy someone else respect logic except except end day except psychologist stay away point ill get back turned reading lot would name subject someone cant even see music find music important cant get without music cant listen either think real understanding note required one say anything kind music understand music question must used asking question instead someone else ask getting anything interesting response assignment even care turning saying hey kid actually making attempt understand fun role considered rambling assignment might taken bit seriously bob got another well time pass goodbye,0,0,0,0,1
17,trying write thought moving slowly spending day walking drag many time seems like million hot sun waiting line computer age wonder right making one long line instead lot line maybe supposed press return cant think right except going home new apartment first apartment ive ever big clean light texas wish apartment original one like whole world floor pet allowed could get going place cutest half around everywhere anyway would name cuz used named give away two child always thought would name jack sure jack sound like name like ultimate boring thought brain slow well absolutely starving right could eat steak together weird taste food growing remember little parent would take asian food liz four five eating fighting best piece baby favorite treat fish eye able stomach left two memory image window memory like wonder really mine maybe young age like somebody told loved outside window mind picture view hard believe person remember thing happened long time ago especially cant remember lunch day yesterday name high school physical science teacher minute nearly thank god cuz need food probably sandwich since need grocery shopping interesting exercise bad thought nowhere near beautiful stream right food main thing mind thank reading,0,0,1,0,1
18,well feel good fact getting assignment done well due today one day feel really motivated homework day anything excitement college starting wear think reality fact finally really hate way typing field automatically move sentence next line really seem thinking anything interesting right feeling average extremely excited unhappy really cannot think anything think mind like usually sit right paper thought seem coming fairly excited psychology course think course interesting helpful well plan medicine boy twenty minute going slowly think might typing much fast perhaps supposed sit wait till thought come tried current thought feeling roommate typing computer well annoying turned fan fairly loud still thought guess sentence thought assignment thinking right four minute three minute buy answering machine today get back nine make upper east jester floor meeting free pizza hope double good roll know pizza well minute,0,0,1,1,1
19,okay go freezing computer lab project one ever read hey want negative let start something else want start already every time like serve volleyball always get stuck reason start like trust really think right professor even know name talking thinking dog yea pennebaker really thinking anything really make assignment difficult know spelling word right hand tired sure reminds little girl would lay bed night try see could think nothing would always seem thinking two thought time would thinking thinking nothing thinking nothing time would singing song head something see project work really seems like many thought per second time write one thought many missed get stream consciousness bell went thought might fire alarm think would matter one seemed care always think thought people one stage dream friend mom weird new age shop lot stuff woman tell future like working new york john went always think woman who eye green like something thought john really dumb thing also man really messed wish would stayed job long wonder people like john people head shoulder guess going learning psychology hope little brother make school next year mom dad say grade good enough sort break heart wonder world really write thought half time even know thinking seems like thought time cant wait till result audition today assignment funny bet bunch people come write thing like diary something someone read tired man tired oclock morning pushing button helping guy make experiment even looking screen whole time really like space bar make self conscience thought closing want lunch girl today young head getting heavy funny like guess think theatre term lot huh also think dad right growing cant remember started thing think minute done red cold arm nothing noon sound computer next typing key chair hurt back every time push fall brought extra today guy read hope get part love finding god sky beautiful sun big whole get sleepy one understand big guy left sound cut thought erased something wrote experiment sound page thats twenty,1,1,1,0,1
20,miss way life used little bit everyone else seems much fun cool really bad time feel like missing something life close friend around used bothering way thing get better know cuz way feel beginning life big change happens kinda irritated guess easy new people met always meet boy pretty silly perfect little blonde love really good time tired feeling like think like john really annoying fault wrote dumb email feel somewhat satisfied realized like cant someone else life computer annoying hate computer like one home know miss able chat online amy everyone else wish could hell probably girl would looking seems like good looking everyone know well stomach keep making nasty noise get embarrassing class worried school work know need keep top thing ill le stressed stuff get tomorrow class come back math something bio discussion ill run make phone call maybe hang ill call christina someone want get involved group feel somewhere else belong getting tell know cant get guess gone home made homesick got back maybe need call someone talk friend john later maybe liz would poor like feel confused need write maybe call phone bill need want call liz lot hate typing look key lot look nasty remember day still calm quiet miss lot stuff need stop way get sleep get day weekend cool football game need friendly meet people stuff one minute guess till stop well bet stop,0,0,1,0,0
21,want rotc scholarship parent cant afford send four year college need money hat rotc stupid left face right face bullshit want save parent money guess going put well man cant believe slept mean nursing last fifteen minute class make two class missed chemistry lab make straight must succeed parent worked hard see damn would perfectly happy living small apartment working well may may teacher anything care much money make tom parent going like brother damn need buy shoe rotc hate rotc already taking fifteen hour plus four hour rotc much freakin freshman least man twelve minute hate roommate bitch pig ate said could one twenty tired music like rap play shit wish would hurry hungry stressed need break summer short miss miss sex need sex stress cant moral yeah right sex many guy around would willing sex damn attractive like think thats thing really going look sure aint going last need start concentrating getting mind fit instead body time wish smart people want actually want well may lifetime hopefully would prepared love want marry really love love son much love wish could see love father would anything little boy damn hate mother never jealous anyone life except hate hate anyone nice person hurt soul night as self control damn would felt good break face miss cant believe want spend time came visit hurt bad loved girl like sister happened loved one leaving left right soon daddy going pas away want daddy love much cant god give one else pain suffering deserve god give fucking guy killed little girl daddy fair okay minute passed done,0,1,1,0,1
22,neighbor across hall letting use computer online went kinsolving lab closed tired get much sleep last night girl wing going frat party staying dorm watching movie turn one roommate friend also psy class thought really neat although class huge surprise seen many high school friend really want talk college assignment seems thing mind right cowboy kicking season tomorrow noon worked nine month somewhat watch fact fan year able get father day year really enjoyed giving love giving gift favorite thing love make people happy people think crazy think great thats another reason enjoyed cowboy much get letter sick child heart sink know sending something cowboy make feel better least distract state let see minute writing roommate talking special talent told mine finding hole yes walk fall every hole look like fool front least people happen walking something else hey found got new car dad bought old one man say cannot send month take two week vacation south buy new car month anyway subject somewhat minute writing handle hey ill bet tell slow typer cant well sure great talking good friend would say goodbye good luck,0,1,1,1,0
23,feeling jealous right got email one friend dating new person make mad know like anymore well forget hot maybe something news guess need cool really like everybody nice trying think ive got particular song head cant get rid tired wish could take nap dorm loud wow pretty wonder shell future wife maybe maybe wonder ask emily dinner tonight cant think way ask without making sound like date fear rejected guess thats piss think real reason never mentioned hope hell really nice seems really mature almost consider big sister really act like could getting sick jester food taste like shit attractive every girl really pretty exception course far seems like college play work except course there many people sometimes overwhelming much yet much organization really like atmosphere game last night blast ive never much fun game much spirit energy running air band best thing thats happened long time taught lot think ive grown speak idea computer lab strike funny people right next there still sense privacy one ever seems look people work much organization much like better know wish girlfriend long time since ive someone miss like fact parent live always get along think lived another state even another city half well like security nice miss homesick wish could stay forever want get job time often feel bad parent pay education ive always way really love family know show well ready start work class theyre starting get boring wonder whats become ive always liked ever since high school life far away love date maybe never got chance damn wish opportunity girl pretty sometimes get way important thing sometimes like distraction sometimes hurt think going well problem good think time,1,0,1,1,0
24,wow day hectic feel relieved got math class needed finally people math least sitting desk one unfortunately deal rude thing pace student class thing annoying lady let fill form mean college god sake read write understand thing pretty well think fill blank unique let take home since decided exact class wanted come back next day wait long line deal rude lady know job tedious boring like deal adding either know want cant anymore biggest pain running around frustration gave professor office find hour hour next day sit class find accept late assignment ive already missed trying homework getting book homework getting help friend going back math find opening class going back wait decided open door around find professor wanted still opening almost whole process lady finally nice letting another class another professor without getting stuff signed said last people get take thank let hope understand professor maybe hell let make assignment ive missed used like math moment entire idea math whole every aspect university many really feel like matter dealing feel like pushed around cant get want know always able get class want time want get exactly wanted even first orientation summer definitely lucky got almost wanted seems work feel math lady could care le problem really expected tell whole maybe heart since make know feel small guess know put feel bad strange way problem others need take care really well really feel home belong coming moving know love tried get hope high thing work exactly planned disappointed guess worked deal problem another big one still loving glad really feel like mad right decision meeting many people ive already become great friend already caring helping problem helping really making great bond feel loved call feel badly anything feel want hang maybe thats really feel way serious trying make believe least think think thinking really making believe know truly feel feeling friend true friend true reason think ill stop analyze every bit,1,0,1,1,1
25,sit dorm room thinking supposed tonight signed fraternity sure pledging going like could tough could easy roommate going take nap need try quiet kind anxious year year like many people sure whether well anyway get side easily going house going introduced older guy probably rest pledge class anxious meet cool guy going spending rest life college hopefully also miss close friend home live mostly going spread across country miss friend best friend michael hey hope come visit well mom worry cause think alot bad thing school really good kid trying make good grade miss little brother year old grade hope fun junior high school cause know keep telling high school best time life belief cannot wait next year high school great grandmother sick year old went visit day left school thinking may never see lived long happy life whenever time come know god one wanted roommate going nap real supposed wake hour hope still typing room quiet one still making noise suite mate class back soon kind always think going get older married going marry going want hard sure set goal already future want successful family nice looking perfect wife love look like much money make ending story quote shoot moon cause miss star,1,0,1,1,0
26,got aol best friend form back home get back see weekend family love mom want get married one would cool hot know though cause still really like girlfriend talked lot since came go school broke still dated really miss miss many friend much watching love show love school except always busy passed frat party cause got work cant afford longer sleep week since got hour sleep think ill sleep early tonight ask one friend form back home pledge party weekend number campus way nothing girl hot wanted long time never really got far big sorority ill ask tomorrow think boyfriend want taco bell favorite food ate mexican food night row,1,0,1,1,0
27,typing friend family noticed today creative writing worry care let idea keep losing come time english class requires ten page paper wondering line stop page must really long wow typing small deep breath guy next passed onto keyboard he okay back computer idea believe sometimes computer get mad crap completely simply one story want tell short sweet little scary reason thought never use computer went promise forced join growing world really difficult going write lab large space time two class today space good believe think people lab little curious written computer next know wonder people admit ive looked word typed someone el screen guy sitting next possibly tell straight hell stop nope little shy think hell catch read get life little actually changed mind read screen want changed mind saw movie dream fish good movie screen time read think may actually gone wonder stand reading actually changed mind enjoy reading people true odd thought like put subject writing like know appearance ask wrong want know person look like really give shit look like public got whole point people belief action sometimes action appearance strong word honestly screw someone especially hell need read back see guy like read screen movie time compare dream fish one two main character one who point view taken throughout movie simple depressed business man favorite second character made admit looking people city window across apartment building really good movie seeing okay going well second character knew along business man watched mind knew business man let main movie anything dull simple make movie little unique brings another point must people spend much time making movie fifty movie maybe hundred even bother one movie freak might even want get someday ill improve grammar bit get used dark lot story front could think interest take path according remembered need get possibly stuff typical college student think afford noticed around kid around rich actually movement whats supposed real life right well another form real life starving must thank much read know secret would tell one well real individual secret train thought would never admit someone else although name matter cause know see,1,1,0,0,1
28,okay sure begin feel friend understand happened know thing never sort thought college might bring closer together discovered matter million mile away used think could get guess wrong friend tell part past look future right think break heart perhaps thinking little much need get able connect others right friend would happen usual listen cant help want thing way understand sometimes think total psycho surprised scared people already ive met nice people open new friend right bad idea point life well open making new friend let past pursue anything else trouble know thinking much perhaps hurt knowing friendship meant talk friend friend say give time trying swear entirely emotional thing guess miss best friend need someone talk sure whole sorority thing maybe ill find friend know thank god girl fit sorority stereotype would hell actually cool make feel better first met scared afraid almost cried sometimes think getting get scared like ive never scared like scary place right maybe felt secure friend think one guy never really talk bother lot need find something else time really think think psycho ive got stop thinking remember ashley said try force thing meant happen trying keep mind guess everything god point matter trust time willing let someone else handle ive got let everything guy thing ive worrying worry best friend different school think theyre theyre drunk right scared sometimes worry kind low self sound strange think like liking think way keep getting hand maybe different kind thinking time whether good bad cant reach ive got stop thinking thing trouble many thing one often totally eats away life kill piece time ive lost sometimes desire sitting room feeling sorry know rest world moving without especially college one care radio song really push really hit song make cry fit particularly depressing aspect life well enough want connect people way song need keep open mind get told need get butt thing always going get reminds tim colorado glad called see could come home birthday guess relief lie security come anything back could one friend saying excited leave glad know really like stream consciousness stuff trying kiss butt anything write lot stuff like let form problem life thinking going journalism know last week think anyone talk least write thing starting friend brian hope get good friend trouble college people know everyone need friend cant best friend everyone friend find really relate still searching feel like kill,1,1,0,1,1
29,stream consciousness sit behind screen find wanting dirty blonde lock hair right sure far college lot fun program allow next line without pushing enter supposed keep typing without pushing enter hit kind cant anymore well going make right back completely stressed many thing right tomorrow heck assignment turn guess thats nature tend want fun thing first mother could see would freak wonder would happen got upper ear bet mom would kill nearly button feel extremely guilty done behind back feel even guilty eye roommate want ear honestly think capable kind pain another individual sure see another person pain feel twice bad likely well ill give money done pushing enter really beginning keep typing way right limit back already typed think need computer hate work concentrate hundred people smile everytime hear wanted buy computer money since sold choice mother realize sentence back fix wonder anyone actually going read glad thought since started typing often certain weird thought really care admit least hope bet whoever read going think bad person really like think mother like think ignorant prove wrong ive taken step right direction joining sorority think fun long stay good side girl sorority experience anyone known long enough period time grow tired aside like yesterday trash one confusing thing life understand think person know always willing thing others make happy great put everything ive got everything friendship especially ive told thing change thing get better college far ive found true ive met many wonderful people cant wait know better first year life wonder long drop well twenty minute almost typed mood really hope one read going leave back castilian enjoy new friend still like,1,1,1,0,1
